date,release_tag,total_downloads,last_updated
2025-10-06,v2.1.4,6,2026-08-23 08:18:15 UTC
2025-09-29,v2.1.3,null,2026-08-23 08:18:15 UTC
2025-09-17,v2.1.2,null,2026-08-23 08:18:15 UTC
2025-09-17,v2.1.1,null,2026-08-23 08:18:15 UTC
2025-09-11,v2.1.0,null,2026-08-23 08:18:15 UTC
2025-10-09,v2.1.5,null,2026-08-23 08:18:15 UTC
2025-10-09,v2.1.6,null,2026-08-23 08:18:15 UTC
2025-10-26,v2.1.7,null,2026-08-23 08:18:15 UTC
2025-11-06,v2.2.1,null,2026-08-23 08:18:15 UTC
2025-11-05,v.2.2.0,null,2026-08-23 08:18:15 UTC
2026-01-29,v3.0.1,null,2026-08-23 08:18:15 UTC
2026-01-29,v3.0.0,null,2026-08-23 08:18:15 UTC
2026-06-17,v3.1.0,null,2026-08-23 08:18:15 UTC
